Driver,Team,LapTime,LapNumber,Compound,LapTimeSeconds,FuelCorrectedTime
VER,Red Bull Racing,0 days 00:01:31.295000,3.0,SOFT,91.295,91.355
VER,Red Bull Racing,0 days 00:01:49.812000,4.0,SOFT,109.812,109.902
VER,Red Bull Racing,0 days 00:01:30.503000,8.0,SOFT,90.503,90.713
VER,Red Bull Racing,0 days 00:01:29.897000,11.0,SOFT,89.897,90.197
VER,Red Bull Racing,0 days 00:01:29.708000,14.0,SOFT,89.708,90.098
VER,Red Bull Racing,0 days 00:01:58.862000,15.0,SOFT,118.862,119.282
PER,Red Bull Racing,0 days 00:01:31.479000,3.0,SOFT,91.479,91.539
PER,Red Bull Racing,0 days 00:01:55.991000,4.0,SOFT,115.991,116.081
PER,Red Bull Racing,0 days 00:01:58.327000,6.0,SOFT,118.327,118.477
PER,Red Bull Racing,0 days 00:01:30.746000,8.0,SOFT,90.746,90.95599999999999
PER,Red Bull Racing,0 days 00:02:07.269000,9.0,SOFT,127.269,127.509
PER,Red Bull Racing,0 days 00:01:30.131000,11.0,SOFT,90.131,90.431
PER,Red Bull Racing,0 days 00:01:29.846000,14.0,SOFT,89.846,90.236
PER,Red Bull Racing,0 days 00:02:06.845000,15.0,SOFT,126.845,127.265
LEC,Ferrari,0 days 00:01:31.094000,5.0,SOFT,91.094,91.214
LEC,Ferrari,0 days 00:02:02.497000,6.0,SOFT,122.497,122.647
LEC,Ferrari,0 days 00:01:52.729000,8.0,SOFT,112.729,112.939
LEC,Ferrari,0 days 00:01:31.699000,10.0,SOFT,91.699,91.969
LEC,Ferrari,0 days 00:01:55.386000,11.0,SOFT,115.386,115.68599999999999
LEC,Ferrari,0 days 00:01:30.282000,13.0,SOFT,90.282,90.642
LEC,Ferrari,0 days 00:02:03.620000,14.0,SOFT,123.62,124.01
LEC,Ferrari,0 days 00:01:30,16.0,SOFT,90.0,90.45
LEC,Ferrari,0 days 00:02:04.303000,17.0,SOFT,124.303,124.783
SAI,Ferrari,0 days 00:01:32.408000,2.0,MEDIUM,92.408,92.438
SAI,Ferrari,0 days 00:01:30.993000,5.0,SOFT,90.993,91.113
SAI,Ferrari,0 days 00:01:31.463000,8.0,SOFT,91.463,91.67299999999999
SAI,Ferrari,0 days 00:01:30.515000,11.0,SOFT,90.515,90.815
SAI,Ferrari,0 days 00:01:30.361000,14.0,SOFT,90.361,90.751
SAI,Ferrari,0 days 00:01:30.154000,17.0,SOFT,90.154,90.634
ALO,Aston Martin,0 days 00:01:31.158000,2.0,SOFT,91.158,91.188
ALO,Aston Martin,0 days 00:01:31.228000,5.0,SOFT,91.228,91.348
ALO,Aston Martin,0 days 00:01:31.094000,8.0,SOFT,91.094,91.30399999999999
ALO,Aston Martin,0 days 00:01:30.645000,11.0,SOFT,90.645,90.945
ALO,Aston Martin,0 days 00:01:30.336000,14.0,SOFT,90.336,90.726
RUS,Mercedes,0 days 00:01:31.057000,2.0,SOFT,91.057,91.087
RUS,Mercedes,0 days 00:01:31.718000,5.0,SOFT,91.718,91.83800000000001
RUS,Mercedes,0 days 00:01:31.086000,8.0,SOFT,91.086,91.29599999999999
RUS,Mercedes,0 days 00:01:30.507000,11.0,SOFT,90.507,90.807
RUS,Mercedes,0 days 00:01:30.340000,14.0,SOFT,90.34,90.73
HAM,Mercedes,0 days 00:01:31.543000,2.0,SOFT,91.543,91.57300000000001
HAM,Mercedes,0 days 00:01:31.654000,5.0,SOFT,91.654,91.774
HAM,Mercedes,0 days 00:01:30.901000,8.0,SOFT,90.901,91.11099999999999
HAM,Mercedes,0 days 00:01:51.818000,9.0,SOFT,111.818,112.05799999999999
HAM,Mercedes,0 days 00:01:30.513000,11.0,SOFT,90.513,90.813
HAM,Mercedes,0 days 00:01:30.384000,14.0,SOFT,90.384,90.774
STR,Aston Martin,0 days 00:01:31.617000,2.0,SOFT,91.617,91.647
STR,Aston Martin,0 days 00:01:31.184000,5.0,SOFT,91.184,91.304
STR,Aston Martin,0 days 00:01:32.305000,8.0,SOFT,92.305,92.515
STR,Aston Martin,0 days 00:01:31.127000,11.0,SOFT,91.127,91.42699999999999
STR,Aston Martin,0 days 00:01:31.926000,14.0,SOFT,91.926,92.316
STR,Aston Martin,0 days 00:01:30.836000,17.0,SOFT,90.836,91.316
OCO,Alpine,0 days 00:01:31.688000,2.0,SOFT,91.688,91.718
OCO,Alpine,0 days 00:01:31.508000,5.0,SOFT,91.508,91.628
OCO,Alpine,0 days 00:01:32.367000,8.0,SOFT,92.367,92.577
OCO,Alpine,0 days 00:01:30.914000,11.0,SOFT,90.914,91.214
OCO,Alpine,0 days 00:01:30.984000,14.0,SOFT,90.984,91.374
HUL,Haas F1 Team,0 days 00:01:32.360000,4.0,SOFT,92.36,92.45
HUL,Haas F1 Team,0 days 00:01:31.204000,7.0,SOFT,91.204,91.384
HUL,Haas F1 Team,0 days 00:01:31.932000,10.0,SOFT,91.932,92.202
HUL,Haas F1 Team,0 days 00:01:44.226000,11.0,SOFT,104.226,104.526
HUL,Haas F1 Team,0 days 00:01:30.809000,13.0,SOFT,90.809,91.169
HUL,Haas F1 Team,0 days 00:01:31.055000,16.0,SOFT,91.055,91.50500000000001
NOR,McLaren,0 days 00:01:32.555000,3.0,SOFT,92.555,92.61500000000001
NOR,McLaren,0 days 00:01:46.866000,4.0,SOFT,106.866,106.956
NOR,McLaren,0 days 00:01:31.652000,6.0,SOFT,91.652,91.802
